entrez_gene_id	gene_symbol	association_score	breast cancer	carcinoid	cervical cancer	colorectal cancer	endometrial cancer	glioma	head and neck cancer	liver cancer	lung cancer	lymphoma	melanoma	ovarian cancer	pancreatic cancer	prostate cancer	renal cancer	skin cancer	stomach cancer	testis cancer	thyroid cancer	urothelial cancer	adrenal gland_glandular cells	appendix_glandular cells	appendix_lymphoid tissue	bone marrow_hematopoietic cells	breast_adipocytes	breast_glandular cells	breast_myoepithelial cells	bronchus_respiratory epithelial cells	cerebellum_cells in granular layer	cerebellum_cells in molecular layer	cerebellum_Purkinje cells	cerebral cortex_endothelial cells	cerebral cortex_glial cells	cerebral cortex_neuronal cells	cerebral cortex_neuropil	"cervix, uterine_glandular cells"	"cervix, uterine_squamous epithelial cells"	colon_endothelial cells	colon_glandular cells	colon_peripheral nerve/ganglion	duodenum_glandular cells	epididymis_glandular cells	esophagus_squamous epithelial cells	fallopian tube_glandular cells	gallbladder_glandular cells	heart muscle_myocytes	hippocampus_glial cells	hippocampus_neuronal cells	kidney_cells in glomeruli	kidney_cells in tubules	lateral ventricle_glial cells	lateral ventricle_neuronal cells	liver_bile duct cells	liver_hepatocytes	lung_macrophages	lung_pneumocytes	lymph node_germinal center cells	lymph node_non-germinal center cells	nasopharynx_respiratory epithelial cells	oral mucosa_squamous epithelial cells	ovary_ovarian stroma cells	pancreas_exocrine glandular cells	pancreas_islets of Langerhans	parathyroid gland_glandular cells	placenta_decidual cells	placenta_trophoblastic cells	prostate_glandular cells	rectum_glandular cells	salivary gland_glandular cells	seminal vesicle_glandular cells	skeletal muscle_myocytes	skin 1_fibroblasts	skin 1_keratinocytes	skin 1_Langerhans	skin 1_melanocytes	skin 2_epidermal cells	small intestine_glandular cells	smooth muscle_smooth muscle cells	soft tissue 1_adipocytes	soft tissue 1_fibroblasts	soft tissue 1_peripheral nerve	soft tissue 2_adipocytes	soft tissue 2_fibroblasts	soft tissue 2_peripheral nerve	spleen_cells in red pulp	spleen_cells in white pulp	stomach 1_glandular cells	stomach 2_glandular cells	testis_cells in seminiferous ducts	testis_Leydig cells	thyroid gland_glandular cells	tonsil_germinal center cells	tonsil_non-germinal center cells	tonsil_squamous epithelial cells	urinary bladder_urothelial cells	uterus 1_cells in endometrial stroma	uterus 1_glandular cells	uterus 2_cells in endometrial stroma	uterus 2_glandular cells	vagina_squamous epithelial cells	ovary_follicle cells	soft tissue 1_chondrocytes	soft tissue 2_chondrocytes
55577	NAGK	0.200895497	Medium	Low	Low	Medium	Low	Low	Medium	Low	Low	Medium	Medium	Low	Low	Low	Medium	Low	Low	Medium	Medium	Low	High	Low	Not detected	Low	Low	Low	Low	Not detected	Not detected	Low	Medium	Not detected	Not detected	Medium	Low	Not detected	NA	Low	Low	Medium	Medium	Low	Medium	Not detected	Medium	Low	Not detected	Low	Not detected	Medium	Low	Medium	Low	Low	Medium	Not detected	Medium	High	Low	Medium	Not detected	Medium	Low	Not detected	Medium	Medium	Low	Low	Medium	Low	Not detected	Medium	Medium	Medium	Medium	Low	Not detected	Low	Medium	Low	Medium	Low	Medium	Not detected	Low	Low	Low	Not detected	Medium	High	Medium	Medium	Medium	Medium	Medium	Not detected	Low	Not detected	Not detected	Medium	NA	NA	Not detected
4780	NFE2L2	0.199937089	Medium	Low	Medium	High	High	High	Medium	High	Low	Medium	Medium	Medium	High	High	Medium	Medium	Medium	Medium	High	High	Medium	Medium	Medium	High	Low	Medium	Medium	Medium	Medium	High	Medium	Medium	High	Medium	Low	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	High	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	High	High	Medium	Medium	Medium	Medium	High	Medium	High	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	Low	Medium	NA
54901	CDKAL1	0.198178323	Low	Medium	Medium	Medium	Medium	Low	Low	Medium	Medium	Low	Low	Low	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Low	High	Low	Medium	Not detected	Medium	Medium	NA	Not detected	Not detected	Low	Not detected	Not detected	Medium	Low	Medium	Medium	Low	High	Low	Medium	Low	High	Medium	Low	Low	Not detected	Low	Not detected	Low	Not detected	Not detected	Not detected	Low	Low	Not detected	Medium	Low	Medium	High	Low	Medium	NA	Medium	NA	Medium	Low	NA	Medium	Low	High	Low	Low	Low	Low	Medium	High	Not detected	Not detected	Low	Not detected	Not detected	Low	Not detected	Low	Low	Medium	High	Low	Low	Medium	NA	Low	High	Medium	Low	Medium	Not detected	Medium	Medium	NA	Not detected	NA
163	AP2B1	0.189167086	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Not detected	Medium	Low	Medium	Low	Not detected	Medium	Not detected	Not detected	Medium	Not detected	NA	Not detected	Medium	High	Not detected	High	Medium	Low	Medium	High	Not detected	Low	Not detected	Low	Medium	Not detected	Low	Not detected	Not detected	Not detected	Low	Medium	Medium	High	Not detected	Low	High	NA	Medium	NA	Medium	High	High	Medium	Medium	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	NA	Not detected	Not detected	NA	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Low	Medium	Low	Medium	Low	NA	NA	NA
25852	ARMC8	0.169497978	Medium	Medium	High	Medium	Low	Low	Medium	Medium	Medium	Not detected	Low	Low	Low	Medium	Low	Low	Low	Medium	Medium	Medium	High	Medium	Low	Medium	Not detected	Medium	Medium	High	Medium	Not detected	Medium	Medium	Not detected	Medium	Medium	Low	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Low	Low	Medium	Not detected	Low	Not detected	Not detected	Medium	Low	Not detected	Not detected	High	Medium	Medium	High	NA	Low	Medium	Medium	Low	Medium	Medium	Medium	High	Medium	Medium	Low	Medium	High	Medium	Medium	Not detected	Medium	NA	Not detected	Medium	Low	Low	Not detected	Medium	Medium	Medium	High	Medium	Low	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	NA	Low	Medium
23198	PSME4	0.165286091	Medium	High	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	High	High	Medium	Medium	Medium	High	Medium	High	Medium	Medium	High	High	NA	Not detected	Not detected	Medium	Medium	High	Medium	Medium	High	Low	Medium	High	Not detected	Medium	Medium	Medium	High	NA	High	Medium	High	High	Medium	High	Low	High	High	Medium	Not detected	Medium	Not detected	Medium	Not detected	Medium	Medium	Medium	High	Medium	Low	Medium	Medium	Not detected	High	High	Medium	High	High	Medium	Low	Medium	Medium	Medium	Medium	High	High	Medium	Not detected	Low	NA	Not detected	Not detected	Not detected	Medium	Low	Medium	Medium	High	High	High	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	High	NA	Low	NA
3845	KRAS	0.155337916	Low	Medium	High	Medium	Medium	Not detected	Medium	Low	Low	Medium	Low	High	Medium	Low	Not detected	Low	Medium	Low	Low	Low	Not detected	High	Low	Medium	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Low	High	Not detected	High	Medium	Not detected	Medium	High	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Low	Not detected	Low	Not detected	Medium	NA	Not detected	Low	High	High	Medium	Low	Not detected	Not detected	Not detected	Low	Low	High	Not detected	Not detected	Not detected	NA	Not detected	Low	Not detected	Not detected	Not detected	Medium	Low	Not detected	Low	Low	Low	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	NA	NA	Not detected
51322	WAC	0.155306729	Low	Medium	Medium	Medium	Low	Low	Medium	Low	Low	Medium	Low	Low	Medium	Low	Medium	Medium	Low	Medium	Medium	Medium	Not detected	Medium	Low	Low	Not detected	Not detected	Not detected	Medium	High	High	High	Not detected	Medium	High	Not detected	Low	Low	Not detected	Medium	NA	Low	Medium	Medium	Medium	Medium	Medium	Low	High	Low	Medium	Medium	High	Not detected	Not detected	Not detected	Not detected	Low	Low	Medium	Not detected	Not detected	Low	Low	Medium	Medium	High	Low	Medium	High	High	Not detected	Low	Medium	Low	High	Medium	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Medium	Medium	Medium	Medium	Medium	Not detected	Low	Medium	Medium	Not detected	Low	Not detected	Medium	Medium	Low	NA	NA
8887	TAX1BP1	0.151471684	Low	Low	Medium	Low	Medium	Medium	Low	Low	High	High	Low	Medium	Not detected	Low	High	Medium	Low	Medium	High	Low	Low	Medium	Low	High	Not detected	Medium	Medium	High	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Low	NA	Medium	Low	NA	Not detected	Medium	Medium	Low	Medium	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	High	High	Medium	Not detected	Not detected	High	High	High	Not detected	Low	Medium	Not detected	Low	Medium	High	Medium	Medium	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	NA	Not detected	Not detected	Medium	Medium	Medium	Low	Not detected	Low	Low	Low	High	Not detected	Not detected	Not detected	Not detected	Medium	High	NA	NA
50674	NEUROG3	0.150064147	Medium	High	Medium	High	Medium	Medium	Medium	High	High	Medium	High	Medium	High	Medium	Low	Medium	Medium	High	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Low	Medium	High	Medium	Medium	High	Low	Low	Low	NA	Medium	NA	High	Medium	Medium	Medium	Medium	Low	Low	Low	Medium	Medium	Medium	Low	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Medium	High	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Not detected	Medium	Medium	Medium	Not detected	Low	High	Not detected	NA	NA
1026	CDKN1A	0.149905795	Medium	Not detected	Low	Not detected	Low	Low	High	Low	Low	Low	Low	Medium	Medium	Medium	Medium	High	Medium	Low	Low	Low	Medium	Not detected	Not detected	Medium	Not detected	Medium	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Not detected	Medium	Not detected	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Medium	Not detected	Medium	Not detected	High	Medium	Not detected	Not detected	High	Medium	Not detected	Not detected	Medium	NA	Not detected	Medium	NA	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Low	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Medium	NA	NA	NA
10459	MAD2L2	0.149150941	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Medium	Low	Low	Low	Medium	Low	Medium	High	Not detected	NA	NA	Low	Not detected	Not detected	Low	Low	Low	Medium	Low	NA	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Low	Medium	Not detected	Not detected	Medium	Medium	Not detected	Low	Not detected	Low	High	Low	Low	Medium	Low	Medium	Medium	Medium	Not detected	Low	NA	Low	Medium	Medium	Medium	Low	Not detected	Medium	Not detected	Low	Not detected	NA	Medium	Low	Medium	Medium	NA	Medium	Low	Medium	Low	Low	Medium	Low	Medium	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Not detected	Medium	Low	Medium	NA	NA
1488	CTBP2	0.140716363	Low	Low	Low	Low	Medium	Low	Medium	Medium	Low	Not detected	Low	Low	Medium	Low	Low	Low	Medium	Medium	Low	Low	Not detected	High	Low	Low	Not detected	Medium	Low	Not detected	Not detected	Not detected	Not detected	Low	Low	Not detected	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Low	Low	High	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Not detected	Not detected	High	Not detected	Low	Medium	Not detected	Not detected	Low	Not detected	Low	High	Medium	Medium	High	Medium	Not detected	Medium	Medium	Low	Not detected	Low	Not detected	Medium	Low	Not detected	Medium	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Medium	High	Medium	Low	Medium	Not detected	Low	Low	Low	Not detected	Medium	Not detected	Low	Low	NA	Not detected	Not detected
4739	NEDD9	0.1394509	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Low	Medium	Medium	Low	Low	Medium	Medium	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	High	Medium	Low	High	Medium	Medium	Medium	NA	High	Medium	Medium	Medium	Medium	Medium	Low	High	Medium	High	Low	Medium	Medium	High	Not detected	Low	Medium	Medium	Medium	Medium	Not detected	Medium	Medium	Medium	High	Medium	High	High	High	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Medium	High	Low	High	High	High	High	High	Medium	Medium	Low	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Not detected	Low	Medium	Medium	Medium	Medium	NA	NA
5684	PSMA3	0.136821219	Medium	Medium	Low	Low	Low	Low	Low	Medium	Low	Low	Not detected	Low	Medium	Low	Low	Low	Low	Low	Medium	Low	High	Low	Not detected	Low	Not detected	High	High	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Low	Not detected	Not detected	High	Medium	Medium	Low	Not detected	Medium	High	High	Not detected	Not detected	Not detected	High	Not detected	Not detected	Low	Medium	Low	Medium	Not detected	Not detected	Medium	Not detected	Not detected	Low	Low	Medium	High	Low	Low	High	Low	Medium	Not detected	Medium	Low	Low	Low	Not detected	High	Not detected	Low	Medium	NA	Low	Medium	NA	Not detected	Not detected	Medium	Medium	Medium	Low	Low	Not detected	Not detected	NA	High	Not detected	Medium	Not detected	Low	Not detected	NA	Not detected	NA
8440	NCK2	0.135524036	Low	Low	Low	Low	Low	Low	Low	Low	Low	Not detected	High	Medium	Not detected	Low	Low	Low	Not detected	Low	Low	Medium	Low	Medium	Low	Medium	Low	Medium	Medium	Low	Not detected	Low	Not detected	Low	Low	Medium	Low	Not detected	Not detected	Low	Medium	Medium	Medium	Medium	Not detected	Low	Medium	Medium	Medium	Medium	Not detected	Low	Low	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Low	Not detected	Low	Medium	Low	NA	Low	Low	Medium	Medium	Medium	Medium	Low	Low	Not detected	Medium	Medium	Medium	Medium	Low	Low	Low	Low	Low	Low	Medium	Medium	Low	Low	Low	Medium	Medium	Medium	Medium	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Low	Medium
7168	TPM1	0.132748347	Low	Low	High	Low	Low	Not detected	Low	Low	Low	High	Low	Low	Low	Not detected	Not detected	Low	Medium	Low	Not detected	Low	Low	Not detected	Not detected	Medium	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Not detected	NA	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Not detected	Medium	Not detected	Not detected	Not detected	Not detected	Not detected
5062	PAK2	0.13269002	Low	Low	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Low	Medium	Low	Low	Low	Low	Medium	Low	Not detected	Low	Low	Medium	Medium	Not detected	Not detected	Low	Not detected	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Low	Low	Medium	NA	Medium	Not detected	Low	Low	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Not detected	Medium	Not detected	Low	Low	Medium	High	Medium	Low	Not detected	Not detected	Not detected	Low	Not detected	Low	Not detected	Medium	Low	Not detected	Low	Not detected	Low	Medium	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Not detected	Low	Medium	Low	Low	Not detected	Not detected	Low	Medium	Medium	Low	Not detected	Not detected	Low	Not detected	Medium	Not detected	Low	NA	NA
5685	PSMA4	0.13256975	Low	Medium	Medium	Medium	Medium	Medium	High	High	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	Medium	High	Medium	Medium	Medium	Not detected	Low	Low	Medium	Not detected	Medium	High	Low	Low	Low	Low	Medium	Medium	Low	Medium	Low	Medium	Medium	Medium	Medium	Medium	Medium	Not detected	Medium	Not detected	Medium	Not detected	Low	Low	Medium	Medium	Not detected	Medium	Medium	Low	Low	Not detected	Medium	Medium	Medium	NA	High	Medium	Medium	Medium	Low	Not detected	Not detected	Not detected	Not detected	Not detected	Medium	Medium	Not detected	Not detected	Not detected	Low	Not detected	Not detected	Low	Medium	Medium	Medium	Medium	Medium	Medium	Low	Medium	Medium	Medium	Medium	Not detected	Medium	Not detected	Medium	Not detected	NA	NA	NA
