entrez_gene_id	gene_symbol
10664	CTCF
6249	CLIP1
8491	MAP4K3
4869	NPM1
8497	PPFIA4
7691	ZNF132
2017	CTTN
25942	SIN3A
7750	ZMYM2
10527	IPO7
158399	ZNF483
1956	EGFR
23379	ICE1
1953	MEGF6
1756	DMD
10440	TIMM17A
23373	CRTC1
4131	MAP1B
4134	MAP4
9031	BAZ1B
3845	KRAS
10594	PRPF8
57721	METTL14
373	TRIM23
374	AREG
23347	SMCHD1
56916	SMARCAD1
65264	UBE2Z
2909	ARHGAP35
94234	FOXQ1
701	BUB1B
6146	RPL22
51199	NIN
6662	SOX9
83891	SNX25
51755	CDK12
80139	ZNF703
23409	SIRT4
1654	DDX3X
1655	DDX5
3664	IRF6
580	BARD1
3662	IRF4
8202	NCOA3
1385	CREB1
11083	DIDO1
27245	AHDC1
79755	ZNF750
7716	VEZF1
3017	HIST1H2BD
197021	LCTL
6256	RXRA
27316	RBMX
7490	WT1
57563	KLHL8
9126	SMC3
5034	P4HB
79577	CDC73
5663	PSEN1
10983	CCNI
9878	TOX4
595	CCND1
6926	TBX3
6921	TCEB1
7916	PRRC2A
2051	EPHB6
974	CD79B
2054	STX2
970	CD70
4534	MTM1
113146	AHNAK2
3695	ITGB7
10628	TXNIP
4321	MMP12
1500	CTNND1
57107	PDSS2
23019	CNOT1
23152	CIC
3082	HGF
2625	GATA3
25836	NIPBL
11333	PDAP1
255394	TCP11L2
9585	KIF20B
23232	TBC1D12
1915	EEF1A1
26036	ZNF451
16	AARS
861	RUNX1
865	CBFB
79473	OR52N1
10498	CARM1
7403	KDM6A
26960	NBEA
284802	FRG1B
9757	KMT2B
4763	NF1
1969	EPHA2
1960	EGR3
51319	RSRC1
8925	HERC1
3977	LIFR
22894	DIS3
207	AKT1
2874	GPS2
3621	ING1
728378	POTEF
71	ACTG1
2335	FN1
5108	PCM1
79158	GNPTAB
54741	LEPROT
2965	GTF2H1
3717	JAK2
9479	MAPK8IP1
7812	CSDE1
5896	RAG1
667	DST
23512	SUZ12
4478	MSN
3655	ITGA6
2099	ESR1
1540	CYLD
117178	SSX2IP
6009	RHEB
546	ATRX
1468	SLC25A10
545	ATR
26173	INTS1
128553	TSHZ2
996	CDC27
5063	PAK3
999	CDH1
7168	TPM1
54894	RNF43
6446	SGK1
8028	MLLT10
6938	TCF12
8021	NUP214
9982	FGFBP1
2261	FGFR3
2068	ERCC2
2146	EZH2
9577	BRE
5573	PRKAR1A
221264	AK9
1387	CREBBP
2064	ERBB2
2065	ERBB3
2066	ERBB4
139716	GAB3
317	APAF1
6709	SPTAN1
11200	CHEK2
9656	MDC1
23269	MGA
92737	DNER
3575	IL7R
4288	MKI67
5093	PCBP1
7249	TSC2
7248	TSC1
55749	CCAR1
2664	GDI1
7430	EZR
369	ARAF
367	AR
55252	ASXL2
2322	FLT3
7027	TFDP1
387	RHOA
3312	HSPA8
9397	NMT2
64855	FAM129B
84964	ALKBH6
84962	AJUBA
23780	APOL2
1729	DIAPH1
388524	RPSAP58
5243	ABCB1
55636	CHD7
285464	CRIPAK
5879	RAC1
9968	MED12
9969	MED13
8218	CLTCL1
401565	FAM166A
153090	DAB2IP
8216	LZTR1
7799	PRDM2
23543	RBFOX2
3006	HIST1H1C
2195	FAT1
3169	FOXA1
2806	GOT2
3008	HIST1H1E
259266	ASPM
8493	PPM1D
57674	RNF213
7158	TP53BP1
7157	TP53
7156	TOP3A
26986	PABPC1
84159	ARID5B
7099	TLR4
10672	GNA13
506	ATP5B
1031	CDKN2C
1213	CLTC
23524	SRRM2
23139	MAST2
23136	EPB41L3
639	PRDM1
23135	KDM6B
463	ZFHX3
9869	SETDB1
6520	SLC3A2
7486	WRN
120892	LRRK2
7846	TUBA1A
4750	NEK1
5294	PIK3CG
4052	LTBP1
23345	SYNE1
8498	RANBP3
85456	TNKS1BP1
58508	KMT2C
8660	IRS2
6774	STAT3
9439	MED23
140453	MUC17
1108	CHD4
9612	NCOR2
8367	HIST1H4E
4087	SMAD2
4089	SMAD4
84083	ZRANB3
5295	PIK3R1
5290	PIK3CA
5291	PIK3CB
64324	NSD1
3631	INPP4A
9688	NUP93
93649	MYOCD
64321	SOX17
9223	MAGI1
8405	SPOP
23064	SETX
5728	PTEN
1811	SLC26A3
6414	SEPP1
6416	MAP2K4
7204	TRIO
2033	EP300
4849	CNOT3
10483	SEC23B
4841	NONO
10486	CAP2
8314	BAP1
126969	SLC44A3
4330	MN1
8313	AXIN2
23451	SF3B1
23074	UHRF1BP1L
11176	BAZ2A
4152	MBD1
8085	KMT2D
2130	EWSR1
129563	DIS3L2
1974	EIF4A2
8859	STK19
54904	WHSC1L1
55672	NBPF1
4929	NR4A2
1788	DNMT3A
64783	RBM15
64784	CRTC3
6125	RPL5
9732	DOCK4
3326	HSP90AB1
6872	TAF1
55699	IARS2
5275	SERPINB13
4703	NEB
79026	AHNAK
7050	TGIF1
2242	FES
10813	UTP14A
288	ANK3
10810	WASF3
5905	RANGAP1
1677	DFFB
55591	VEZT
678	ZFP36L2
324	APC
675	BRCA2
677	ZFP36L1
23077	MYCBP2
672	BRCA1
673	BRAF
5518	PPP2R1A
171023	ASXL1
29123	ANKRD11
2990	GUSB
2770	GNAI1
8703	B4GALT3
4642	MYO1D
54552	GNL3L
81327	OR4A16
2778	GNAS
2475	MTOR
8031	NCOA4
8030	CCDC6
4893	NRAS
10042	HMGXB4
10735	STAG2
9603	NFE2L3
5156	PDGFRA
5604	MAP2K1
9859	CEP170
201625	DNAH12
4205	MEF2A
2782	GNB1
89796	NAV1
89795	NAV3
23173	METAP1
3842	TNPO1
1523	CUX1
7733	ZNF180
126668	TDRD10
64919	BCL11B
912	CD1D
309	ANXA6
23499	MACF1
3815	KIT
8358	HIST1H3B
84295	PHF6
8454	CUL1
3265	HRAS
8452	CUL3
8450	CUL4B
9644	SH3PXD2A
7272	TTK
6427	SRSF2
841	CASP8
4297	KMT2A
8894	EIF2S2
440270	GOLGA8B
23382	AHCYL2
50509	COL5A3
7428	VHL
51343	FZR1
9611	NCOR1
1794	DOCK2
10557	RPP38
55791	LRIF1
23405	DICER1
5335	PLCG1
5336	PLCG2
5339	PLEC
10256	CNKSR1
84953	MICALCL
51631	LUC7L2
4060	LUM
54790	TET2
4067	LYN
164395	TTLL9
83481	EPPK1
5781	PTPN11
5783	PTPN13
65108	MARCKSL1
168975	CNBD1
284086	NEK8
10043	TOM1
563	AZGP1
567	B2M
3075	CFH
7644	ZNF91
3170	FOXA2
64282	PAPD5
4602	MYB
1027	CDKN1B
1026	CDKN1A
57646	USP28
5426	POLE
1029	CDKN2A
4353	MPO
6209	RPS15
440093	H3F3C
129446	XIRP2
2355	FOSL2
9459	ARHGEF6
390502	SERPINA2
54778	RNF111
284391	ZNF844
4926	NUMA1
48	ACO1
3105	HLA-A
3106	HLA-B
4928	NUP98
6187	RPS2
26058	GIGYF2
26059	ERC2
26115	TANC2
29072	SETD2
26052	DNM3
26056	RAB11FIP5
23743	BHMT2
10075	HUWE1
91975	ZNF300
9354	UBE4A
8394	PIP5K1A
55193	PBRM1
115548	FCHO2
23195	MDN1
222194	RSBN1L
22822	PHLDA1
8997	KALRN
472	ATM
6789	STK4
7468	WHSC1
84162	KIAA1109
4851	NOTCH1
