entrezgene_id,symbol,pathway,GO_ID
11186,RASSF1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4438,MSH4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4439,MSH5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6662,SOX9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8091,HMGA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1877,E4F1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6422,SFRP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
58490,RPRD1B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55787,TXLNG,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
332,BIRC5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
57551,TAOK1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
29935,RPA4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7884,SLBP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5314,PKHD1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
84084,RAB6C,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
996,CDC27,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5347,PLK1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8697,CDC23,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
26271,FBXO5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2068,ERCC2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2071,ERCC3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7508,XPC,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1642,DDB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
56979,PRDM9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
3306,HSPA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
91646,TDRD12,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
676,BRDT,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
245711,SPDYA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
56155,TEX14,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
138474,TAF1L,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
122402,TDRD9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
136991,ASZ1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
64180,DPEP3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
56603,CYP26B1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11040,PIM2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11022,TDRKH,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8317,CDC7,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5788,PTPRC,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
54962,TIPIN,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8914,TIMELESS,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1062,CENPE,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9787,DLGAP5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11065,UBE2C,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2059,EPS8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
27338,UBE2S,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55844,PPP2R2D,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23332,CLASP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9150,CTDP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
84072,HORMAD1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9183,ZW10,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9735,KNTC1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9587,MAD2L1BP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10361,NPM2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
22933,SIRT2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
84687,PPP1R9B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
54443,ANLN,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10869,USP19,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
131870,NUDT16,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
51176,LEF1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11097,NUPL2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8815,BANF1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9631,NUP155,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9133,CCNB2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4000,LMNA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
983,CDK1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7175,TPR,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
891,CCNB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8021,NUP214,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23636,NUP62,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9972,NUP153,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5903,RANBP2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2010,EMD,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4928,NUP98,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
57122,NUP107,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8480,RAE1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23279,NUP160,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23511,NUP188,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
53371,NUP54,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9688,NUP93,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
348995,NUP43,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
79023,NUP37,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
129401,NUP35,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
91754,NEK9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23225,NUP210,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55746,NUP133,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23165,NUP205,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
81929,SEH1L,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
22932,POM121,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4927,NUP88,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7443,VRK1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9818,NUPL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
79902,NUP85,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10783,NEK6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8086,AAAS,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10762,NUP50,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
122706,PSMB11,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9814,SFI1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
3796,KIF2A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5717,PSMD11,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5718,PSMD12,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5715,PSMD9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10733,PLK4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10213,PSMD14,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1871,E2F3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10403,NDC80,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5688,PSMA7,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6790,AURKA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4659,PPP1R12A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7514,XPO1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
80184,CEP290,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5709,PSMD3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9738,CCP110,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
699,BUB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9184,BUB3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2029,ENSA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8636,SSNA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5001,ORC5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5000,ORC4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5885,RAD21,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4660,PPP1R12B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
701,BUB1B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8615,USO1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23122,CLASP2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8318,CDC45,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
51053,GMNN,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8481,OFD1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5716,PSMD10,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8874,PAK3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11258,DCTN3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
22995,CEP152,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11130,ZWINT,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10112,KIF20A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10592,SMC2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5116,PCNT,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11116,FGFR1OP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9232,PTTG1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10298,PAK4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9134,CCNE2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1719,DHFR,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10382,TUBB4A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7298,TYMS,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5925,RB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
203068,TUBB,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
3320,HSP90AA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5422,POLA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7314,UBB,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7316,UBC,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4605,MYBL2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7153,TOP2A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1019,CDK4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5111,PCNA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
84172,RPA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2241,FER,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5578,PRKACA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5702,PSMC3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
26018,LIG1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1459,CSNK2A2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
890,CCNA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5689,PSMB1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7283,TUBG1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
595,CCND1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
898,CCNE1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1017,CDK2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4172,MCM3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5682,PSMA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5683,PSMA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5684,PSMA3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5685,PSMA4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
25885,RPA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5696,PSMB8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5698,PSMB9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5686,PSMA5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5692,PSMB4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5694,PSMB6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5693,PSMB5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5424,POLD1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5933,RBL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5518,PPP2R1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7465,WEE1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
993,CDC25A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
994,CDC25B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
995,CDC25C,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6249,CLIP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5577,PRKAR2B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6241,RRM2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4173,MCM4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4174,MCM5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4176,MCM7,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6119,RPA3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5984,RFC4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5982,RFC2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6573,RFC1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5701,PSMC2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5501,PPP1CC,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5063,CDKN1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2237,FEN1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5699,PSMB10,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5985,RFC5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5983,RFC3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1069,CETN2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6232,RPS27,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1029,CDKN2A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1030,CDKN2B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1031,CDKN2C,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5048,PAFAH1B1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5704,PSMC4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5905,RANGAP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1027,CDKN1B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5714,PSMD8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1453,CSNK1D,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5425,POLD2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1058,CENPA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1063,CENPF,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5557,PRIM1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5558,PRIM2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1454,CSNK1E,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5691,PSMB3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5690,PSMB2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1022,CDK7,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1763,DNA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5713,PSMD7,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7321,UBE2D1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
902,CCNH,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4331,MNAT1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4751,NEK2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7324,UBE2E1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5710,PSMD4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1032,CDKN2D,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6396,SEC13,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10776,ARPP19,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5427,POLE2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5687,PSMA6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4218,RAB8A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5862,RAB2A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1163,CKS1B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10121,ACTR1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10197,PSME3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7532,YWHAG,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5500,PPP1CB,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5700,PSMC1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5705,PSMC5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7531,YWHAE,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5706,PSMC6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5861,RAB1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5520,PPP2R2A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8655,DYNLL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6500,SKP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5515,PPP2CA,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1460,CSNK2B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7277,TUBA4A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10383,TUBB4B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8900,CCNA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1021,CDK6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1869,E2F1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9493,KIF23,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1061,CENPC,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5720,PSME1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5426,POLE,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
2801,GOLGA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5934,RBL2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5928,RBBP4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
991,CDC20,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8881,CDC16,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5585,PAK1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5586,PAK2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5708,PSMD2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4085,MAD2L1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
6502,SKP2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23421,ITGB3BP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1781,DYNC1I2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10166,ORC1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
83884,ORC2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
3065,HDAC1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10540,DCTN2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8454,CUL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1859,DYRK1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9793,CKAP5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23649,POLA2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7027,TFDP1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7029,TFDP2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1639,DCTN1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1778,DYNC1H1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1870,E2F2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4175,MCM6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9700,ESPL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
8243,SMC1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9837,GINS1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4926,NUMA1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23198,PSME4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23397,NCAPH,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9861,PSMD6,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9918,NCAPD2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10714,POLD3,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5108,PCM1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1875,E2F5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
22919,MAPRE1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
1874,E2F4,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
5711,PSMD5,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23244,PDS5A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
54821,ERCC6L,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
91750,LIN52,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55143,CDCA8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
151246,SGOL2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
157570,ESCO2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
4957,ODF2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
387103,CENPW,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
151648,SGOL1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
114799,ESCO1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
84131,CEP78,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
286826,LIN9,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9662,CEP135,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
401541,CENPP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
25836,NIPBL,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
132660,LIN54,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
100527963,PMF1,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
79682,MLF1IP,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
7846,TUBA1A,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55166,CENPQ,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
55388,MCM10,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23063,WAPAL,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
11064,CNTRL,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
10806,SDCCAG8,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
23141,ANKLE2,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
9702,CEP57,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
146909,KIF18B,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
148479,PHF13,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
91687,CENPL,Apoptosis/Cell Cycle,"GO:0007049, GO:0006915"
